Features,importance
fundamental_2_rolling5,0.018024921
20_30_demean,0.01808503
technical_30_lag5,0.019219037
fundamental_59_demean,0.019901099
premium_20_30,0.020457255
Combo_tech_27_36_35,0.023635209
fundamental_59_lag5,0.0236984
technical_14_rolling5,0.023866994
fundamental_59_rolling5,0.02508839
y_rolling_vol_lag5,0.02612584
technical_22_lag5,0.027371489
technical_14_demean,0.029232739
technical_22_rolling5,0.030248702
technical_20_demean,0.030839186
technical_30_demean,0.030953137
vol_20_30_rolling10,0.038328644
vol_20_30_rolling5,0.047944766
mkt_20_30,0.048368096
technical_22_demean,0.05105622
vol_20_30_rolling20,0.05121024
